head,relation,tail
Ancient Egypt,rdf:type,Civilization
Ancient Greece,rdf:type,Civilization
Roman Empire,rdf:type,Civilization
Byzantine Empire,rdf:type,Civilization
Ottoman Empire,rdf:type,Civilization
Mughal Empire,rdf:type,Civilization
Maurya Empire,rdf:type,Civilization
Gupta Empire,rdf:type,Civilization
Han Dynasty,rdf:type,Civilization
Qing Dynasty,rdf:type,Civilization
Ming Dynasty,rdf:type,Civilization
Song Dynasty,rdf:type,Civilization
Aztec Empire,rdf:type,Civilization
Inca Empire,rdf:type,Civilization
Maya Civilization,rdf:type,Civilization
Babylonian Empire,rdf:type,Civilization
Persian Empire,rdf:type,Civilization
Achaemenid Empire,rdf:type,Civilization
Sumerian Civilization,rdf:type,Civilization
Phoenician Civilization,rdf:type,Civilization
Bronze Age,rdf:type,HistoricalPeriod
Iron Age,rdf:type,HistoricalPeriod
Classical Antiquity,rdf:type,HistoricalPeriod
Middle Ages,rdf:type,HistoricalPeriod
Early Modern Period,rdf:type,HistoricalPeriod
Modern Era,rdf:type,HistoricalPeriod
Nile Valley,rdf:type,Region
Mesopotamia,rdf:type,Region
Indus Valley,rdf:type,Region
Yellow River Valley,rdf:type,Region
Mediterranean Basin,rdf:type,Region
Anatolia,rdf:type,Region
Italian Peninsula,rdf:type,Region
Iberian Peninsula,rdf:type,Region
Balkan Peninsula,rdf:type,Region
Arabian Peninsula,rdf:type,Region
Mesoamerica,rdf:type,Region
Andes Mountains,rdf:type,Region
Central Asia,rdf:type,Region
East Asia,rdf:type,Region
South Asia,rdf:type,Region
Western Europe,rdf:type,Region
Eastern Europe,rdf:type,Region
Cleopatra,rdf:type,Person
Julius Caesar,rdf:type,Person
Augustus,rdf:type,Person
Genghis Khan,rdf:type,Person
Kublai Khan,rdf:type,Person
Ashoka,rdf:type,Person
Akbar,rdf:type,Person
Suleiman the Magnificent,rdf:type,Person
Alexander the Great,rdf:type,Person
Napoleon Bonaparte,rdf:type,Person
George Washington,rdf:type,Person
Abraham Lincoln,rdf:type,Person
Mahatma Gandhi,rdf:type,Person
Nelson Mandela,rdf:type,Person
Winston Churchill,rdf:type,Person
Charlemagne,rdf:type,Person
Cyrus the Great,rdf:type,Person
Darius the Great,rdf:type,Person
Ramses II,rdf:type,Person
Pericles,rdf:type,Person
Hammurabi,rdf:type,Person
Marcus Aurelius,rdf:type,Person
Constantine the Great,rdf:type,Person
Joan of Arc,rdf:type,Person
Tokugawa Ieyasu,rdf:type,Person
Queen Victoria,rdf:type,Person
Louis XIV,rdf:type,Person
Peter the Great,rdf:type,Person
Catherine the Great,rdf:type,Person
Simon Bolivar,rdf:type,Person
Mustafa Kemal Ataturk,rdf:type,Person
Ho Chi Minh,rdf:type,Person
Chiang Kai-shek,rdf:type,Person
Mao Zedong,rdf:type,Person
Sun Yat-sen,rdf:type,Person
Franklin D. Roosevelt,rdf:type,Person
Theodore Roosevelt,rdf:type,Person
Adolf Hitler,rdf:type,Person
Joseph Stalin,rdf:type,Person
Leon Trotsky,rdf:type,Person
John F. Kennedy,rdf:type,Person
Martin Luther King Jr.,rdf:type,Person
Che Guevara,rdf:type,Person
Fidel Castro,rdf:type,Person
Imhotep,rdf:type,Person
Tutankhamun,rdf:type,Person
Nefertiti,rdf:type,Person
Hatshepsut,rdf:type,Person
Battle of Waterloo,rdf:type,Event
French Revolution,rdf:type,Event
American Revolution,rdf:type,Event
World War I,rdf:type,Event
World War II,rdf:type,Event
Fall of Constantinople,rdf:type,Event
Discovery of America,rdf:type,Event
Industrial Revolution,rdf:type,Event
Fall of the Berlin Wall,rdf:type,Event
Russian Revolution,rdf:type,Event
Meiji Restoration,rdf:type,Event
Unification of Germany,rdf:type,Event
Unification of Italy,rdf:type,Event
Partition of India,rdf:type,Event
